Provincia,Partido,Localidad,Poblacion,ADSL,Cablemodem,Dial Up,Fibra optica,Satelital,Wireless,Telefonia Fija,3G,4G,Link,Latitud,Longitud
BUENOS AIRES,9 de Julio,Alfredo Demarchi (Est. Facundo Quiroga),1853,SI,--,--,--,--,--,SI,SI,SI,6588010,-35.29298195,-61.40725421
BUENOS AIRES,9 de Julio,Carlos María Naón,497,--,--,--,--,--,--,SI,SI,SI,6588020,-35.23949938,-60.82513588
BUENOS AIRES,9 de Julio,Dudignac,2670,--,--,SI,--,--,SI,SI,SI,SI,6588040,-35.65119285,-60.70989628
BUENOS AIRES,9 de Julio,La Aurora (Est. La Niña),531,--,--,--,--,--,--,--,--,SI,6588050,-35.40794679,-61.21056682
BUENOS AIRES,9 de Julio,Manuel B. Gonnet (Est. French),748,SI,--,--,SI,--,--,SI,SI,SI,6588060,-35.52014145,-60.9989488
BUENOS AIRES,9 de Julio,Marcelino Ugarte (Est. Dennehy),76,--,--,--,--,--,--,SI,--,SI,6588070,-35.34626626,-60.74534468
BUENOS AIRES,9 de Julio,Morea,347,--,--,--,--,--,SI,SI,--,--,6588080,-35.55638801,-60.56059406
BUENOS AIRES,9 de Julio,Norumbega,57,--,--,--,--,--,--,SI,--,--,6588090,-35.53573927,-60.79281436
BUENOS AIRES,9 de Julio,Patricios,745,SI,--,--,--,--,SI,SI,SI,--,6588110,-35.4395527,-60.71743847
BUENOS AIRES,9 de Julio,Villa General Fournier (Est. 9 de Julio Sud),566,--,--,--,SI,--,SI,SI,SI,SI,6588120,-35.49892395,-60.86472071
BUENOS AIRES,Adolfo Alsina,Carhué,9660,SI,--,SI,SI,--,SI,SI,SI,SI,6007010,-37.1774801,-62.75789626
BUENOS AIRES,Adolfo Alsina,Colonia San Miguel Arcángel,563,--,--,--,SI,--,--,SI,--,SI,6007020,-37.44861865,-63.11760941
BUENOS AIRES,Adolfo Alsina,Delfín Huergo,14,--,--,--,--,--,--,--,--,--,6007030,-37.31732926,-63.23316906
BUENOS AIRES,Adolfo Alsina,Espartillar,21,--,--,--,--,--,--,--,--,SI,6007040,-37.35633456,-62.43876378
BUENOS AIRES,Azul,Ariel,16,--,--,--,--,--,--,--,--,SI,6049010,-36.53125442,-59.92006518
BUENOS AIRES,Azul,Azul,55728,SI,SI,SI,SI,SI,SI,SI,SI,SI,6049020,-36.7795145,-59.85863317
BUENOS AIRES,Azul,Cacharí,2960,--,--,SI,--,--,SI,SI,SI,SI,6049030,-36.38056263,-59.50306455
BUENOS AIRES,Azul,Chillar,3083,--,--,--,--,SI,SI,SI,SI,SI,6049040,-37.31501132,-59.98531817
BUENOS AIRES,Bahía Blanca,Bahía Blanca,291327,SI,SI,SI,SI,SI,SI,SI,SI,SI,6056010,-38.71140373,-62.25690895
BUENOS AIRES,Bahía Blanca,Cabildo,2046,--,SI,SI,SI,--,SI,SI,SI,SI,6056020,-38.48385721,-61.89260153
BUENOS AIRES,Bahía Blanca,General Daniel Cerri (Est. General Cerri),6745,SI,SI,SI,SI,--,SI,SI,SI,SI,6056030,-38.71365249,-62.39242217
BUENOS AIRES,Bahía Blanca,Grunbein,0,--,--,--,--,--,--,--,SI,SI,6056020,-38.74710795,-62.18911669
BUENOS AIRES,Bahía Blanca,Ingeniero White,0,--,--,--,SI,SI,--,--,SI,SI,6056020,-38.77946704,-62.26295125
BUENOS AIRES,General Pueyrredón,Chapadmalal,4112,SI,--,--,SI,SI,SI,SI,SI,SI,6357080,-38.17577793,-57.651339
BUENOS AIRES,General Pueyrredón,El Marquesado,196,--,--,--,--,--,SI,SI,--,--,6357090,-38.23693125,-57.76341808
BUENOS AIRES,General Pueyrredón,Estacion Camet,0,--,--,--,--,--,--,--,SI,SI,6357090,-37.88866524,-57.60001215
BUENOS AIRES,General Pueyrredón,Estación Chapadmalal,1633,SI,--,--,SI,--,SI,--,SI,SI,6357100,-38.03672773,-57.71298974
BUENOS AIRES,General Pueyrredón,Mar del Plata,560913,SI,SI,SI,SI,SI,SI,SI,SI,SI,6357110,-38.01209148,-57.60649472
BUENOS AIRES,General Pueyrredón,Punta Mogotes,0,--,--,--,--,--,--,--,SI,SI,6351020,-38.08337743,-57.58593509
BUENOS AIRES,General Pueyrredón,Sierra de los Padres,4249,SI,--,--,SI,--,SI,SI,SI,SI,6357120,-37.95416671,-57.7715971
BUENOS AIRES,General Rodríguez,Barrio Ruta 24 Kilómetro 10,0,--,--,--,SI,--,--,--,SI,SI,6364030,-34.68821595,-58.95742971
BUENOS AIRES,General Rodríguez,Country Club Bosque Real - Barrio Morabo,0,--,--,--,--,--,--,--,SI,SI,6364030,-34.555,-58.935
BUENOS AIRES,Pellegrini,Pellegrini,5115,SI,SI,SI,--,SI,SI,SI,SI,SI,6616030,-36.26973523,-63.16528611
BUENOS AIRES,Pergamino,Acevedo,1499,SI,SI,--,--,--,SI,SI,SI,SI,6623010,-33.75566535,-60.44083739
BUENOS AIRES,Pergamino,Fontezuela,365,SI,--,--,SI,--,SI,SI,--,--,6623020,-33.91383924,-60.46286509
BUENOS AIRES,Pergamino,Guerrico,774,--,SI,--,--,SI,SI,--,SI,SI,6623030,-33.67458496,-60.40068659
BUENOS AIRES,Pergamino,Juan A. de la Peña,211,--,--,--,--,--,SI,--,--,--,6623040,-33.83227674,-60.48648954
BUENOS AIRES,Pergamino,Juan Anchorena (Est. Urquiza),976,SI,--,--,SI,--,SI,SI,SI,SI,6623050,-33.92633786,-60.38290348
BUENOS AIRES,Pergamino,La Violeta,1041,SI,--,--,--,--,--,SI,SI,SI,6623060,-33.73478514,-60.17017731
BUENOS AIRES,Pergamino,Manuel Ocampo,1078,--,--,--,SI,--,SI,SI,SI,SI,6623070,-33.76472327,-60.64924293
BUENOS AIRES,Pergamino,Mariano Benítez,168,--,--,--,--,--,--,SI,--,--,6623080,-33.70902704,-60.5842599
BUENOS AIRES,Pergamino,Mariano H. Alfonzo (Est. San Patricio),993,--,--,--,--,SI,--,--,SI,SI,6623090,-33.9149979,-60.83835507
BUENOS AIRES,Pergamino,Pergamino,91399,SI,SI,SI,SI,SI,SI,SI,SI,SI,6623100,-33.89499006,-60.57164008
BUENOS AIRES,Pergamino,Pinzón,393,--,--,--,--,--,SI,--,--,--,6623110,-33.99472112,-60.731648
MENDOZA,Lavalle,El Paramillo,90,--,--,--,--,--,--,--,--,--,50056090,-32.78130882,-68.53368309
CABA,COMUNA 12,VILLA PUEYRREDON,39654,SI,SI,SI,SI,SI,SI,SI,SI,SI,2000010,-34.58211045,-58.50348488
CATAMARCA,Ambato,Los Varela,443,--,--,--,--,SI,--,--,--,SI,10007110,-27.92799423,-65.88223023
CATAMARCA,Ambato,Singuil,295,--,--,--,--,--,--,--,--,SI,10007120,-27.81421686,-65.867066
CATAMARCA,Ancasti,Ancasti,361,--,--,--,--,SI,--,SI,--,SI,10014010,-28.80982977,-65.502102
CATAMARCA,Ancasti,Anquincila,202,--,--,--,--,--,--,--,--,--,10014020,-28.75459365,-65.54951028
CATAMARCA,Ancasti,La Candelaria,77,--,--,--,--,--,--,--,--,--,10014030,-28.72076229,-65.41069174
CATAMARCA,Ancasti,La Majada,154,--,--,--,--,--,--,--,--,--,10014040,-29.02951076,-65.54995677
CATAMARCA,Andalgalá,Aconquija,0,--,--,--,--,SI,--,--,SI,SI,10021010,-27.47437989,-66.02668843
CATAMARCA,Andalgalá,Alto De Las Juntas,0,--,--,--,--,--,--,--,--,--,10021010,-27.45119598,-66.01996883
CATAMARCA,Andalgalá,Amanao,29,--,--,--,--,--,--,SI,SI,--,10021010,-27.52758956,-66.51567617
CATAMARCA,Andalgalá,Andalgalá,12600,SI,--,--,SI,SI,SI,SI,SI,SI,10021020,-27.5732226,-66.32354664
CATAMARCA,Andalgalá,Buena Vista,0,--,--,--,--,--,--,--,--,--,10021010,-27.33919224,-66.02418922
CATAMARCA,Andalgalá,Chaquiago,1096,--,--,--,SI,SI,SI,--,--,--,10021030,-27.53689555,-66.33505689
CATAMARCA,Andalgalá,Choya,403,--,--,--,--,--,--,--,--,--,10021040,-27.52107493,-66.40347428
CATAMARCA,Andalgalá,El Alamito,734,--,--,--,--,--,SI,--,--,--,10021050,-27.33353788,-66.02298517
CATAMARCA,Andalgalá,El Lindero,741,--,--,--,--,--,--,SI,--,--,10021060,-27.47437989,-66.02668843
CATAMARCA,Andalgalá,El Potrero,184,--,--,--,SI,--,--,SI,--,--,10021070,-27.51623224,-66.34342808
CATAMARCA,Andalgalá,La Aguada,378,--,--,--,SI,--,SI,--,--,--,10021080,-27.53408903,-66.31177505
CATAMARCA,Andalgalá,La Mesada,0,--,--,--,SI,--,--,--,--,--,10021010,-27.45119598,-66.01996883
CATAMARCA,Antofagasta de la Sierra,Antofagasta de la Sierra,730,--,--,--,--,SI,--,SI,--,SI,10028010,-26.06329574,-67.41167064
CATAMARCA,Antofagasta de la Sierra,Antofalla,45,--,--,--,--,--,--,--,--,--,10028020,-25.52015495,-67.62204742
CATAMARCA,Antofagasta de la Sierra,El Peñón,263,--,--,--,--,--,--,SI,--,--,10028030,-26.43777955,-67.25909536
CATAMARCA,Antofagasta de la Sierra,Los Nacimientos,43,--,--,--,--,--,--,--,--,--,10028040,-25.75926658,-67.39126714
CATAMARCA,Belén,Barranca Larga,330,--,--,--,--,--,--,SI,--,--,10035010,-26.93667259,-66.74737367
CATAMARCA,Belén,Belén,12256,--,--,--,--,SI,SI,SI,SI,SI,10035020,-27.63375823,-67.01812243
CATAMARCA,Belén,Cóndor Huasi,254,--,--,--,--,--,--,--,--,--,10035030,-27.48002537,-67.10343656
CATAMARCA,Belén,Corral Quemado,1204,--,--,--,--,--,--,SI,--,--,10035040,-27.14582662,-66.94187721
CATAMARCA,Belén,El Durazno,378,--,--,--,--,SI,--,--,--,--,10035050,-27.23521607,-67.06443023
CATAMARCA,Belén,Farallón Negro,1463,--,--,--,--,--,--,SI,--,SI,10035060,-27.29799116,-66.65265359
