Feature,Coefficient
Poblacion_2022,0.0004367448290835463
Total_2022,0.00011914430251379766
Cant_Cablemodem_2022,5.669467660947618e-05
Cant_FibraOptica_2022,3.607508996361709e-05
Cant_ADSL_2022,1.7563665493095128e-05
Year,1.3799413310465952e-05
Cant_Wireless_2022,6.915815092910922e-06
Cant_Otros_2022,1.7308282487386762e-06
Acc_cada_100_hog,2.6712336304156284e-07
Cant_DialUp_2022,1.1956528281144448e-07
Acc_cada_100_hab,7.521837746465045e-08
Cant_Satelital_2022,2.9950931993068563e-08
Pob_prov_2022,2.4846193914364627e-08
3G_2022,2.1714545779440896e-08
Quarter,1.7394835389132854e-08
Telefonia Fija_2022,1.5997347342747874e-08
Cant_Wimax_2022,1.4710891155100132e-08
ADSL_2022,1.2368691672748254e-08
Fibra optica_2022,1.1777899923977186e-08
Cablemodem_2022,8.967146313038905e-09
Satelital_2022,7.174205445581188e-09
Wireless_2022,6.085853545622702e-09
Dial Up_2022,2.9168927902077647e-09
Provincia_SANTA FE,2.7592773672232565e-09
Provincia_CORDOBA,1.7741890973608858e-09
Provincia_ENTRE RIOS,1.4284765927410054e-09
Provincia_CHACO,1.0181556780971104e-09
Provincia_CORRIENTES,1.0026647945381082e-09
Provincia_MISIONES,8.820435915022448e-10
Provincia_TUCUMAN,7.145350918021935e-10
Provincia_SANTIAGO DEL ESTERO,5.781478764913207e-10
Provincia_MENDOZA,5.326021831115288e-10
Provincia_SALTA,5.239572627846495e-10
Partido_General San Martín,4.4671201121389314e-10
Provincia_FORMOSA,3.839028056000485e-10
Partido_General López,3.748713516087278e-10
Partido_Avellaneda,3.3426155034373704e-10
Partido_San Lorenzo,3.228806202336131e-10
Partido_Río Cuarto,2.954158899273125e-10
Partido_Río Segundo,2.95107067223368e-10
Partido_Capital,2.7260883836660383e-10
Partido_Las Colonias,2.718138300093888e-10
Partido_San Justo,2.6776389469189714e-10
Partido_Paraná,2.653219895431105e-10
Partido_La Paz,2.6489852034562854e-10
Partido_General Obligado,2.604090841189983e-10
Partido_Tercero Arriba,2.4024251841257686e-10
Partido_Juárez Celman,2.2483199074290387e-10
Partido_San Jerónimo,2.2053645310723607e-10
Partido_Oberá,2.0944028179506597e-10
Partido_Concordia,2.0907924879202985e-10
Partido_Colón,2.0772596245657932e-10
Partido_Rosario,2.0018180682932619e-10
Partido_Caseros,1.9882776685499574e-10
Partido_Gualeguaychú,1.8630436570605443e-10
Partido_Grl. José de San Martín,1.778817273818208e-10
Partido_Almirante Brown,1.6471479318316549e-10
Partido_San Martín,1.631897591839734e-10
Partido_Patiño,1.561949618362452e-10
Partido_Unión,1.4901732510558254e-10
Partido_Marcos Juárez,1.4446175092559236e-10
Partido_Libertador General San Martín,1.3688460058664654e-10
Partido_Orán,1.307620721094313e-10
Partido_Sarmiento,1.2910661187208132e-10
Partido_Confluencia,1.282728832353374e-10
Partido_Ledesma,1.2719059640930867e-10
Partido_Concepción,1.2578904394906126e-10
Partido_Pilcomayo,1.2526740967014114e-10
Partido_San Fernando,1.2019420893453113e-10
Partido_Bariloche,1.1795672293248304e-10
Partido_Las Heras,1.1153602912260274e-10
Partido_San Carlos,1.1151997497732019e-10
Partido_Presidente Roque Sáenz Peña,1.1025543764645284e-10
Partido_Tres De Febrero,1.0925658926703644e-10
Partido_Leales,1.0518296827161049e-10
Partido_Punilla,1.0499183565538543e-10
Partido_Guaymallén,1.0300637023943566e-10
Partido_Pirané,1.0228095883763814e-10
Partido_La Matanza,1.0221311470059939e-10
Partido_Río Primero,1.0084714105690666e-10
Partido_Tafí Viejo,9.869901009122387e-11
Partido_Maipú,9.468239677632665e-11
Partido_Constitución,9.276360119396999e-11
Partido_Uruguay,9.269228739450266e-11
Partido_Pocito,9.237738524192817e-11
Partido_Formosa,9.20485493739852e-11
Partido_Pilar,9.192881417901385e-11
Partido_El Carmen,8.957526955532967e-11
Partido_Choya,8.567981633853943e-11
Partido_San Ignacio,8.501543688763687e-11
Partido_Ituzaingó,8.388785372768322e-11
Partido_Tafí del Valle,8.376994774494485e-11
Partido_General Donovan,8.359912139535582e-11
Partido_Diamante,8.322588921566737e-11
Partido_Islas del Ibicuy,8.320508016130591e-11
Partido_Tupungato,8.259836717568688e-11
Partido_General Alvear,7.988239413225911e-11
Partido_Garay,7.987975572596407e-11
Partido_Tigre,7.645430533411159e-11
Partido_Banda,7.596477112867016e-11
Partido_Iguazú,7.594197872989585e-11
Partido_Sargento Cabral,7.538648945466046e-11
Partido_Lules,7.351649056109097e-11
Partido_Juan F. Ibarra,7.297087201942102e-11
Partido_San Miguel,7.20896837282725e-11
Partido_Castellanos,7.072659988791674e-11
Partido_Florencio Varela,7.056699301392296e-11
Partido_Berazategui,7.001431524437542e-11
Localidad_Santa Lucía,6.929041991746638e-11
Localidad_25 de Mayo,6.918028915561968e-11
Partido_Santa Rosa,6.668534604087806e-11
Partido_O Higgins,6.56883742313963e-11
Partido_Vicente López,6.346596198645404e-11
Partido_Santo Tomé,6.198223016225755e-11
Partido_Graneros,6.161981618491499e-11
Partido_San Cosme,6.124349833310993e-11
Localidad_San José,6.072598244510525e-11
Partido_Godoy Cruz,6.071935345870015e-11
Partido_Robles,6.06365679485708e-11
Partido_Trenel,6.048329106820245e-11
Partido_Apóstoles,6.043880350563296e-11
Localidad_San Vicente,6.038012158551552e-11
Partido_Quilmes,6.007334678627572e-11
Localidad_Rivadavia,5.961120147725909e-11
Partido_Guaraní,5.959480979012904e-11
Localidad_General Alvear,5.911507956700117e-11
Partido_Victoria,5.89797526534477e-11
Partido_Silípica,5.897542423156592e-11
Partido_Rosario de la Frontera,5.826118662580153e-11
Localidad_San Lorenzo,5.81175827448841e-11
Localidad_San Roque,5.7934072908707966e-11
Partido_Luján,5.7341796843935675e-11
Partido_Candelaria,5.700214786216046e-11
Partido_Curuzú Cuatiá,5.6574689259220526e-11
Partido_Paso de los Libres,5.649567850853967e-11
Localidad_Santa Ana,5.598641945428241e-11
Partido_Federación,5.569231021737656e-11
Partido_Cruz Alta,5.49263944582288e-11
Partido_La Candelaria,5.437484970635156e-11
Partido_Gaiman,5.401388067279495e-11
Localidad_La Paz,5.3996770360900825e-11
Partido_Totoral,5.352920809467203e-11
Partido_Copo,5.2040289315104206e-11
Partido_Lomas De Zamora,5.099434429653147e-11
Partido_Luján de Cuyo,5.045529962348484e-11
Partido_Escobar,4.9498293001463154e-11
Partido_Iriondo,4.878133067146975e-11
Partido_Vera,4.8676946207254595e-11
Localidad_El Colorado,4.7239148076806986e-11
Partido_General Paz,4.7004554411502326e-11
Partido_Capayán,4.622362475938107e-11
Partido_Ojo de Agua,4.498536734591057e-11
Partido_Federal,4.4942464107338384e-11
Partido_Monteros,4.483596187929931e-11
Localidad_Rawson,4.4484870155261534e-11
Localidad_El Bolsón,4.427092005334745e-11
Localidad_Icaño,4.419334887904763e-11
Localidad_Santa Rosa,4.367421089282035e-11
Localidad_Palma Sola,4.3253600693649037e-11
Partido_12 de Octubre,4.323621057212359e-11
Localidad_San Carlos,4.316551292346339e-11
Partido_General Angel V. Peñaloza,4.308225598145657e-11
Partido_Ezeiza,4.303545600401962e-11
Partido_Tinogasta,4.291326176449521e-11
Partido_Esquina,4.2807859537339056e-11
Partido_La Costa,4.259585865071449e-11
Partido_Puelén,4.251992448588742e-11
Partido_Yerba Buena,4.2505233765116086e-11
Partido_Empedrado,4.246794564720364e-11
Localidad_Villa Unión,4.2327011500925636e-11
Partido_Goya,4.2310577889463207e-11
Localidad_La Puerta,4.230075033754738e-11
Partido_Saladas,4.224655834289014e-11
Partido_San Isidro,4.221910580260611e-11
Localidad_Hipólito Yrigoyen,4.211517503654349e-11
Partido_Metán,4.2024677328701645e-11
Partido_ItatÍ,4.192263567132667e-11
Partido_Feliciano,4.172679036304397e-11
Partido_Aguirre,4.149451303345172e-11
Partido_La Caldera,4.133545981024283e-11
Partido_General Güemes,4.131101423158148e-11
Partido_Gualeguay,4.1122530737693043e-11
Localidad_Miraflores,4.104785752465587e-11
Partido_Ushuaia,4.088165217027646e-11
Localidad_Candelaria,4.0754289621421984e-11
Localidad_La Merced,4.075419339576191e-11
Partido_Lanús,4.063892621575533e-11
Localidad_Santo Tomé,4.0582977706929997e-11
Partido_Guasayán,4.0541106282272613e-11
Localidad_Villa Dolores,4.03166610307458e-11
Partido_Malargüe,4.0209812419990575e-11
Partido_1º de Mayo,4.0185593981669014e-11
Localidad_Concepción,4.017265773896355e-11
Localidad_Chilecito,4.0040444065633934e-11
Partido_Tunuyán,4.0032250809881904e-11
Partido_Villaguay,3.971140857173143e-11
Partido_Quitilipi,3.9631903212365216e-11
Partido_Rosario Vera Peñaloza,3.9579417309699666e-11
Localidad_Herrera,3.953522367635962e-11
Partido_Valle Fértil,3.9308743347270276e-11
Partido_Chimbas,3.919812488799572e-11
Localidad_Villa del Carmen,3.917000534514101e-11
Localidad_La Cruz,3.914700875657913e-11
Localidad_Río Colorado,3.900811971941856e-11
Localidad_Las Heras,3.9000219803225124e-11
Localidad_Bonpland,3.893482471211277e-11
Partido_Río Grande,3.8671358318345496e-11
Partido_Lago Buenos Aires,3.840322652548006e-11
Partido_Independencia,3.836244435975844e-11
Localidad_Pedernal,3.8321829118534916e-11
Partido_Telsen,3.8188569505327396e-11
Partido_Molinos,3.752670951962069e-11
Partido_Morón,3.7481816625843886e-11
Localidad_Villa Mercedes,3.740078593493589e-11
Localidad_El Espinillo,3.733880759247561e-11
Localidad_Pilar,3.7182314544494384e-11
Partido_Montecarlo,3.7077775383354856e-11
Partido_Ambato,3.688669977293936e-11
Partido_Coronel Felipe Varela,3.680092701420034e-11
Partido_Monte Caseros,3.6730418481160275e-11
Partido_General Manuel Belgrano,3.666784411740242e-11
Partido_Corpen Aike,3.6593550589321474e-11
Partido_Lácar,3.617800488237816e-11
Localidad_Almafuerte,3.6153570735994605e-11
Partido_San Salvador,3.5958103706516844e-11
Localidad_Arroyito,3.5852279001090923e-11
Localidad_Coronel Moldes,3.576787892626774e-11
Localidad_General Roca,3.551837870268793e-11
Localidad_Recreo,3.540617267969067e-11
Partido_Cachi,3.540425802997427e-11
Localidad_Alvear,3.530198500232682e-11
Partido_Burruyacú,3.526371338196362e-11
Partido_Merlo,3.525152904440024e-11
Localidad_Esperanza,3.523542537084209e-11
Localidad_San Martín,3.4561712606312294e-11
Localidad_Fray Luis Beltrán,3.450509189447435e-11
Localidad_Esquina,3.428686038638193e-11
Partido_Arauco,3.372132721035e-11
Partido_Catriló,3.164329202941719e-11
Partido_Añelo,3.151192371938492e-11
Partido_Hucal,3.122870040565752e-11
Localidad_Laprida,3.069256191177445e-11
Localidad_Las Peñas,3.068300576619092e-11
Partido_San Rafael,3.037792533115385e-11
Partido_Cafayate,3.0297751986195295e-11
Localidad_Merlo,2.983108238859096e-11
Partido_Laishi,2.94819445602282e-11
Localidad_Las Flores,2.8913890860501713e-11
Partido_Campana,2.890850996750758e-11
Localidad_Villa Santa Rosa,2.8839845678662032e-11
Localidad_Villa Centenario,2.8331938884083622e-11
Localidad_Colón,2.822023356061315e-11
Localidad_Victoria,2.8046562309479886e-11
Localidad_9 de Julio,2.7420636966726166e-11
Localidad_Saladillo,2.7342700602732366e-11
Localidad_Junín,2.710077303895107e-11
Partido_General Alvarado,2.7039709369460238e-11
Localidad_Médanos,2.6837704260546665e-11
Localidad_Caseros,2.6694655000070445e-11
Localidad_General Conesa,2.6556258193795003e-11
Localidad_Pavón,2.64541489278845e-11
Localidad_Mercedes,2.6397882643381038e-11
Localidad_San Justo,2.633522796045201e-11
Localidad_Libertad,2.6161568066837473e-11
Localidad_Villa Nueva,2.6076356025595736e-11
Localidad_Villa Elvira,2.6046191290142597e-11
Partido_Tala,2.590226259645811e-11
Localidad_Villa Sarmiento,2.5704849918123363e-11
Localidad_Matará,2.557637571574686e-11
Localidad_San Jose,2.5302489079256383e-11
Localidad_Bella Vista,2.5175841390052113e-11
Localidad_Maipú,2.5128064850654284e-11
Partido_General Lamadrid,2.5114778497271723e-11
Localidad_Villa Castelli,2.5114778497271723e-11
Partido_Cerrillos,2.5017905144171132e-11
Localidad_Posta Cambio Zalazar,2.498867477503444e-11
Localidad_La Rioja,2.4881108414123943e-11
Localidad_Quirós,2.4640427549375797e-11
Partido_Adolfo Alsina,2.4592299223296555e-11
Localidad_Pueblo Libertador,2.4577121001917294e-11
Localidad_San Ignacio,2.4549849367565856e-11
Localidad_El Bracho,2.451955223247518e-11
Partido_SANTA BARBARA,2.4377810032698333e-11
Localidad_La Cumbre,2.4371557502872685e-11
Localidad_Cuipan,2.4341668669071045e-11
Partido_Pilagás,2.4183203686148316e-11
Localidad_Choya,2.4112307464636703e-11
Partido_Anta,2.4066025488163834e-11
Localidad_Abra Pampa,2.405801027646202e-11
Localidad_Los Núñez,2.4033160064410986e-11
Localidad_Mártires,2.4032036188891277e-11
Localidad_Chañar Pozo de Abajo,2.40217018595055e-11
Localidad_Los Palacios,2.3926275995650914e-11
Localidad_Saujil,2.386007251512824e-11
Partido_Chacabuco,2.3853407969857632e-11
Localidad_El Rodeo,2.3808163435345495e-11
Localidad_Gobernador Juan E. Martínez,2.3797483584456888e-11
Localidad_Chamical,2.3735705881403196e-11
Partido_Chamical,2.3735705881403196e-11
Localidad_La Tigra,2.3704952644763815e-11
Localidad_Los Tigres,2.3652629117211492e-11
Localidad_Malanzán,2.361783805136576e-11
Localidad_Villa San José de Vinchina,2.3517466940961653e-11
Localidad_Nonogasta,2.350670185461528e-11
Localidad_San Francisco de Laishi,2.3461077819016854e-11
Localidad_Maimará,2.3460032611680584e-11
Localidad_Los Corralitos,2.3451788786321004e-11
Localidad_Castelar,2.3404844681612957e-11
Localidad_Frías,2.3404088703750433e-11
Localidad_Puente de Hierro,2.338073063227688e-11
Partido_Río Hondo,2.3351900429275444e-11
Localidad_Caimancito,2.3338497383598587e-11
Localidad_La Cañada,2.333813575046311e-11
Localidad_Chalicán,2.3319091347665448e-11
Localidad_Colonia El Simbolar,2.3309811636125403e-11
Localidad_Vilelas,2.33069658758423e-11
Localidad_Pueblo General Belgrano,2.330459724071601e-11
Localidad_Victorica,2.3297266606659242e-11
Localidad_Malbrán,2.3277608206267627e-11
Partido_General Belgrano,2.3261839306778963e-11
Localidad_Panambi Kilómetro 15,2.325013148846343e-11
Localidad_Tinogasta,2.317083409542341e-11
Localidad_Pluma de Pato,2.313791600257423e-11
Localidad_Bañado de Ovanta,2.3119211232032195e-11
Localidad_Tumbaya,2.3114434447893062e-11
Localidad_Colonia Carolina,2.3102929051195718e-11
Localidad_Darwin,2.3100672958663427e-11
Localidad_Campanas,2.3087155069036022e-11
Localidad_La Arboleda,2.305278728465676e-11
Localidad_Garupá,2.3036788611877105e-11
Localidad_Machigasta,2.3015285023163436e-11
Partido_Matacos,2.298022925018177e-11
Localidad_Ingeniero Guillermo N. Juárez,2.298022925018177e-11
Localidad_Rancul,2.2967436148156506e-11
Localidad_Ulapes,2.2959691159365392e-11
Localidad_Monteros,2.2919389030821266e-11
Localidad_Cortaderas,2.2915238120009926e-11
Localidad_Formosa,2.2896644677520997e-11
Localidad_Milagro,2.287071428060431e-11
Localidad_Villa Ojo de Agua,2.2764766900387256e-11
Localidad_Bandera Bajada,2.2748948744535297e-11
Localidad_Villa Kilómetro 213,2.2680053586481983e-11
