Año,Trimestre,Provincia,Accesos por cada 100 hab
2022,4,Buenos Aires,27
2022,4,Capital Federal,50
2022,4,Catamarca,17
2022,4,Chaco,12
2022,4,Chubut,26
2022,4,Córdoba,27
2022,4,Corrientes,14
2022,4,Entre Ríos,19
2022,4,Formosa,10
2022,4,Jujuy,15
2022,4,La Pampa,31
2022,4,La Rioja,21
2022,4,Mendoza,14
2022,4,Misiones,14
2022,4,Neuquén,23
2022,4,Río Negro,21
2022,4,Salta,14
2022,4,San Juan,13
2022,4,San Luis,26
2022,4,Santa Cruz,13
2022,4,Santa Fe,25
2022,4,Santiago Del Estero,12
2022,4,Tierra Del Fuego,30
2022,4,Tucumán,15
2022,3,Buenos Aires,26
2022,3,Capital Federal,50
2022,3,Catamarca,17
2022,3,Chaco,12
2022,3,Chubut,26
2022,3,Córdoba,27
2022,3,Corrientes,13
2022,3,Entre Ríos,19
2022,3,Formosa,11
2022,3,Jujuy,15
2022,3,La Pampa,32
2022,3,La Rioja,21
2022,3,Mendoza,14
2022,3,Misiones,14
2022,3,Neuquén,24
2022,3,Río Negro,21
2022,3,Salta,14
2022,3,San Juan,13
2022,3,San Luis,23
2022,3,Santa Cruz,13
2022,3,Santa Fe,25
2022,3,Santiago Del Estero,12
2022,3,Tierra Del Fuego,30
2022,3,Tucumán,15
2022,2,Buenos Aires,26
2022,2,Capital Federal,50
2022,2,Catamarca,16
2022,2,Chaco,12
2022,2,Chubut,26
2022,2,Córdoba,27
2022,2,Corrientes,13
2022,2,Entre Ríos,19
2022,2,Formosa,11
2022,2,Jujuy,15
2022,2,La Pampa,31
2022,2,La Rioja,21
2022,2,Mendoza,14
2022,2,Misiones,14
2022,2,Neuquén,24
2022,2,Río Negro,21
2022,2,Salta,14
2022,2,San Juan,13
2022,2,San Luis,23
2022,2,Santa Cruz,13
2022,2,Santa Fe,24
2022,2,Santiago Del Estero,12
2022,2,Tierra Del Fuego,30
2022,2,Tucumán,15
2022,1,Buenos Aires,26
2022,1,Capital Federal,46
2022,1,Catamarca,15
2022,1,Chaco,12
2022,1,Chubut,27
2022,1,Córdoba,26
2022,1,Corrientes,13
2022,1,Entre Ríos,19
2022,1,Formosa,9
2022,1,Jujuy,15
2022,1,La Pampa,30
2022,1,La Rioja,21
2022,1,Mendoza,14
2022,1,Misiones,13
2022,1,Neuquén,22
2022,1,Río Negro,21
2022,1,Salta,14
2022,1,San Juan,11
2022,1,San Luis,23
2022,1,Santa Cruz,13
2022,1,Santa Fe,24
2022,1,Santiago Del Estero,12
2022,1,Tierra Del Fuego,29
2022,1,Tucumán,14
2021,4,Buenos Aires,25
2021,4,Capital Federal,46
2021,4,Catamarca,14
2021,4,Chaco,12
2021,4,Chubut,25
2021,4,Córdoba,26
2021,4,Corrientes,12
2021,4,Entre Ríos,19
2021,4,Formosa,9
2021,4,Jujuy,15
2021,4,La Pampa,30
2021,4,La Rioja,21
2021,4,Mendoza,13
2021,4,Misiones,13
2021,4,Neuquén,22
2021,4,Río Negro,20
2021,4,Salta,14
2021,4,San Juan,10
2021,4,San Luis,23
2021,4,Santa Cruz,13
2021,4,Santa Fe,24
2021,4,Santiago Del Estero,12
2021,4,Tierra Del Fuego,29
2021,4,Tucumán,14
2021,3,Buenos Aires,24
2021,3,Capital Federal,46
2021,3,Catamarca,13
2021,3,Chaco,11
2021,3,Chubut,25
2021,3,Córdoba,25
2021,3,Corrientes,12
2021,3,Entre Ríos,19
2021,3,Formosa,9
2021,3,Jujuy,14
2021,3,La Pampa,28
2021,3,La Rioja,21
2021,3,Mendoza,13
2021,3,Misiones,12
2021,3,Neuquén,21
2021,3,Río Negro,19
2021,3,Salta,14
2021,3,San Juan,10
2021,3,San Luis,23
2021,3,Santa Cruz,13
2021,3,Santa Fe,24
2021,3,Santiago Del Estero,12
2021,3,Tierra Del Fuego,28
2021,3,Tucumán,14
2021,2,Buenos Aires,23
2021,2,Capital Federal,45
2021,2,Catamarca,13
2021,2,Chaco,12
2021,2,Chubut,22
2021,2,Córdoba,25
2021,2,Corrientes,11
2021,2,Entre Ríos,18
2021,2,Formosa,8
2021,2,Jujuy,14
2021,2,La Pampa,27
2021,2,La Rioja,20
2021,2,Mendoza,11
2021,2,Misiones,12
2021,2,Neuquén,21
2021,2,Río Negro,19
2021,2,Salta,13
2021,2,San Juan,10
2021,2,San Luis,24
2021,2,Santa Cruz,13
2021,2,Santa Fe,24
2021,2,Santiago Del Estero,12
2021,2,Tierra Del Fuego,20
2021,2,Tucumán,14
